crt_1;crt_2;crt_3;id;sex;age;crt_all
10;50;24;216;Nő;23;0
0.1;100;24;181;Nő;20;0
0.05 euró;5 perc;47 nap;261;Nő;19;3
5 cent;5 perc;47;153;Nő;21;3
0.10 euró;1 óra 40 perc;24 nap;64;Nő;21;0
0.05;0.25;47;66;Férfi;21;2
5 centbe kerül a labda.;100 percbe telik.;47 nap alatt növik be a tó felét.;326;Nő;22;2
5 cent;5;47;127;Nő;20;3
5 cent;100 perc;47;236;Nő;24;2
0.05;5;47;56;Férfi;23;3
0.05;5;47;332;Férfi;20;3
10 cent;100 perc;47 nap;223;Nő;22;1
0.1 euró;100 perc;6.9;348;Nő;22;0
0.5;5;47;192;Nő;20;2
5 cent;5 perc;47 nap;51;Nő;19;3
10 cent;100 percbe;24;271;Nő;18;0
10 cent;100 perc;24 nap;99;Nő;19;0
0.10;100;47;227;Nő;21;1
0.05;5 perc;47;100;Nő;21;3
0.05;5;47;145;Nő;19;3
0.10;100;24;296;Férfi;20;0
0.10 euro;500 perc;24;204;Nő;20;0
0,5 euró;2000;47;30;Nő;20;1
0.1;200;24;83;Nő;21;0
10 cent;100 perc;10 nap;289;Férfi;20;0
5 cent;5 perc;47 nap;284;Nő;21;3
0.05;100;26;155;Nő;20;1
0.05;5 perc;47;132;Nő;19;3
0.10 euró;100 perc;24 nap;310;Nő;21;0
0.10 euró;100 percbe telik;24 napba;274;Nő;20;0
0.05 €;5;47;176;Nő;20;3
0.10 euró;100 perc;47 nap;38;Nő;24;1
0.5;5;47;280;Nő;21;3
0.05;50;12;210;Nő;20;1
0.1;5;47;92;Férfi;24;2
0.05 euró;100 perc;36 nap;278;Nő;19;1
0.05 euró;100;47;26;Nő;19;2
0.05;5;47;42;Férfi;20;3
1.05;5;47;55;Férfi;22;2
0.10;NA;NA;347;Férfi;24;0
0.05;5;47;74;Férfi;22;3
5;5;47;88;Nő;20;3
10 cent;100;32;300;Nő;20;0
1.05;5;47;267;Férfi;21;2
0.05;5;47;175;Nő;21;3
0.1;100;24;17;Nő;21;0
1.05;5;7;59;Nő;22;1
0,10 euro;100;47;238;Férfi;21;1
0.5;5;47;154;Nő;19;3
0.05;100;47;107;Férfi;23;2
0.5;1;47;245;Nő;24;2
5 cent;5 perc;47 nap;71;Férfi;22;3
0.05;5;47;144;Férfi;21;3
0.1;5;47;86;Nő;19.333333333333332;2
0.1;100;12;264;Nő;20;0
0.10;5;24;39;Férfi;22;1
0.05;100;24;234;Nő;21;1
0.05 euró a labda ára;100 percébe telik;47 nap alatt növik be a tó felét;146;Nő;18;2
10;100p;24;224;Nő;22;0
10 cent;8 óra 20 perc;24 nap;170;Nő;20;0
10;100;47;319;Férfi;22.666666666666668;1
A labda 0.05 euróba kerül.;100;24 nap;69;Nő;21;1
0.05;5;47;341;Nő;21;3
0.05 euró;5 perc;47 nap;111;Nő;23;3
10 cent;100 perc;5.4 nap;32;Nő;20;0
10cent;100;24;218;Nő;23;0
5 cent;5 percbe;47 nap alatt;313;Nő;20;3
50cent;100perc;24nap;101;Nő;21;0
0.10;100;47;43;Nő;20;1
10;100;12;126;Nő;22;0
0.05 euróba ( 5 centbe);500 percébe;25;265;Nő;20;1
0.5;5 perc;5;230;Nő;22;2
50 cent;5 perc;47 nap;73;Nő;21;2
5 cent;5 perc;47 nap;339;Férfi;20;3
5 cent;100 perc;24;120;Nő;23;1
0,10;100;47;243;Nő;23;1
0.5;100;24;315;Nő;20;0
0.10;5;24;260;Nő;20;1
0,05;100;24;102;Férfi;21;1
0.05;5;47;292;Nő;21;3
5 cent;5;47;137;Nő;21;3
0.05;5;47;160;Férfi;19;3
0.05 euró;5 perc;24;168;Nő;21;2
0.5;500;47;142;Nő;22;1
0.10;100;47;193;Nő;20;1
0.05;5;47;116;Férfi;21;3
0.05;100;47;323;Férfi;21;2
0.10;5;47;96;Férfi;22;2
10;100;12;203;Nő;22;0
10 cent;100 perc;24 nap;345;Nő;22;0
0.05 euro vagy 5 cent;5 perc;47;241;Nő;24;3
0.1;5;47;134;Férfi;20;2
0.05;5.00;47;156;Férfi;21;3
0,5;20;47;231;Férfi;20;1
5 cent;5 perc;47 nap;333;Férfi;21;3
10 CENT;100;24;304;Nő;21;0
5 cent;5 perc;47 nap;27;Nő;19;3
A labda 10 cent, az ütő 1.10 euró.;5 percbe;47 napba;182;Nő;21;2
5 cent;500;47;291;Férfi;23;2
0.05;100;47;166;Nő;22;2
0.5 euro;5 perc;2;3;Nő;19;2
0.05 euró;5 perc;47;140;Nő;25;3
0.05;1;47;277;Nő;25;2
10 cent;1 perc;47;79;Nő;19;1
50,5 cent;5 perc;47;19;Nő;22;2
0.5;5;47;161;Nő;20;2
0.05;20;47;172;Férfi;22;2
0,05;5;47;325;Nő;22;3
0.05;100;24;226;Nő;24;1
1.05 euró;5 perc;24 nap;110;Nő;21;1
0.05;100;47;221;Nő;21;2
5 cent;5 perc;47;254;Nő;24;3
0.1;5;47;23;Nő;21;2
0.5;5;47;122;Férfi;23.333333333333332;2
0,05;100;47;8;Férfi;21;2
1;100;24;344;Nő;22;0
1.5;5 perc;47 nap;50;Nő;19;2
5 cent;5;47;268;Nő;22;3
10 cent;100;47;128;Nő;20;1
0.05 Euro (5 cent);5 perc;47;81;Nő;20;3
0.05;50;47;151;Nő;21;2
0.5 euró;5 perc;24 nap;15;Nő;25;1
5 cent;5 perc;47 nap;219;Nő;21;3
0.05 euró;5 perc;47 nap;275;Nő;19;3
0.10 euró;100 perc;24;33;Nő;22;0
5 cent;5 perc;47 nap;287;Nő;24;3
0.10;5;47;85;Férfi;21;2
10 cent;100 perc;24;24;Nő;20;0
0.1;100;24;167;Nő;23;0
0.05;100;24;249;Nő;22;1
5cent;100;24;334;Nő;20.333333333333332;1
0.05;5;47;6;Férfi;21;3
10;500;47;28;Férfi;21;1
0.10;20;32;135;Férfi;18.333333333333332;0
0.05 euró;5 perc;47;357;Férfi;20;3
0.01;5;24;353;Nő;20;1
0.1;100 perc;24 nap;169;Nő;20;0
5 centbe;5 percbe;47 nap;10;Nő;20;3
0.05;5.0;47.0;207;Férfi;21;3
0.05 euró;5 perc;47 nap;106;Nő;22;3
5;10;47;233;Nő;21;2
0.1 euró;1 perc;47 nap;46;Férfi;21;1
5 cent;5 perc;24 nap;184;Férfi;20;2
0,05;25;47;255;Nő;19;2
0.5;5;47;141;Nő;20;3
0.10 euró (10 cent);20 perc;NA;286;Nő;21;0
0.10;5;47;355;Férfi;21;2
5;5;47;147;Férfi;24;3
0.10 euróba;100 percbe;24 óra alatt;324;Nő;20;0
0.05 euró;5 perc;47 nap;148;Nő;25;3
5 centbe;500 percbe;30;266;Nő;19;1
0.1;100;96;139;Nő;20;0
0.05 euró;5 perc;47 nap;342;Férfi;20;3
10 cent;10;24;239;Nő;20;0
0.1;5;47;174;Nő;21;2
0.10;100;24;37;Nő;20;0
0.05;5;47 nap;360;Nő;20;3
0.05;1;47;159;Nő;24;2
0.1 euró;5 perc;47 nap;298;Férfi;19;2
0.5;100;47;150;Férfi;22;2
0.10 euro;100 perc;2^24;80;Nő;21;0
0.05;5 perc;47;191;Férfi;21;3
0.10;100;24;97;Nő;24;0
5 cent.;5 perc.;24 nap.;82;Nő;19;2
0.5;5;47;335;Férfi;21.333333333333332;2
0.05;5;47;293;Férfi;19;3
0.05 euró;5 perc;47;235;Nő;21;3
0.10 euró;100 perc;20;67;Nő;19;0
0.05;5 perc;47;281;Nő;23;3
2.10;100;96;115;Nő;22;0
0.10;100;47;173;Nő;21;1
0.05;5;47;171;Nő;20;3
10 cent;100;24;253;Nő;22;0
10 cent;100 perc;12 nap;197;Nő;21;0
0.5;5;47;321;Férfi;22;2
0.5 euro;100 perc;47 nap;317;Nő;18;1
0,10;100;24;303;Nő;24;0
0.1;5;47;78;Férfi;22;2
5;5;47;279;Férfi;22;3
10 cent;100;47;49;Nő;20;1
10 cent;100;47;211;Nő;25;1
5 cent;5;47;130;Nő;22;3
0.05;5;47;247;Nő;20;3
0.50 cent;5 perc;47 nap;11;Nő;22;2
0.10;100;47;105;Nő;23;1
5;5;47;328;Nő;20;3
0.1;100;47;350;Nő;25;1
0.10;100;24;283;Nő;20;0
5 cent;20 perc;24;220;Nő;18;1
0.05;100;47;309;Férfi;21;2
10 cent;100 perc;47 nap;52;Nő;20;1
0.10;5;24;232;Nő;20;1
0,05 euró;5 perc;47 nap;189;Nő;26;3
5 cent;100 perc;47 nap;340;Nő;24;2
0,5;5;47;165;Férfi;21;2
0.5;5;47;242;Férfi;20;2
5 cent;5 perc;47;343;Nő;20;3
0.05;5;47;20;Nő;19;3
5 cent;50;47;138;Nő;18;2
0.5;5;47;250;Férfi;20;2
5 cent;5;47;206;Nő;21;3
0.05 euró;5 perc;47;70;Nő;22;3
0.05;5;47;272;Nő;21;3
0.05;5;47;21;Nő;25;3
0.5;10;6;98;Nő;18;0
0.05;5;47;263;Férfi;24;3
0.10;100;6;282;Nő;21;0
0.10 euro;5;8;29;Nő;20;1
0.5;5;47;5;Nő;21;2
0,5;5;47;22;Nő;22;2
10;20;24;40;Nő;20;0
5 centbe kerül a labda.;5 perc alatt.;Nem tudom.;200;Férfi;21;2
5;5;47;7;Nő;20;3
0.10 euró;5 perc;47 nap;213;Nő;22;2
10 cent;5 perc;47 nap;273;Nő;18;2
10 cent;100;24;214;Nő;20;0
5 cent;5 perc;47 nap;12;Nő;19;3
0.10 euró = 10 cent;100 perc;24 óra;318;Nő;21;0
1.5;100;47;262;Nő;21;1
5 cent;5;47;177;Nő;20;3
0.05;5;47;201;Nő;20;3
0.05;5;47;179;Nő;22;3
0.05;5;24;329;Nő;21;2
20 cent;100;47;136;Nő;20;1
0.05;100;24;129;Nő;22;1
0.05;1;47;194;Nő;20;2
0,05 euró;25;47 nap;222;Férfi;22;2
5 cent;5 perc;47 nap;270;Férfi;28;3
10 cent;100 perc;24 nap;95;Nő;21;0
0.05 euróba kerül;100 percbe;47 napba telik;205;Nő;20;2
0.10;100;24;302;Nő;21;0
5 centbe;5 perc;47;251;Nő;20;3
0.5;5;47;31;Nő;23;2
10 cent;100 perc;11 nap;41;Nő;22;0
0.10;100;4800;93;Nő;21;0
0.05;100;24;44;Nő;20;1
0.05;5;47;316;Férfi;22;3
0.5;100;24;311;Nő;20;0
0.05;5;47;330;Nő;24;3
0.05 euró;100;24;312;Nő;21;1
0.05;5;47;337;Férfi;21;3
0.05;5;47;359;Nő;20;3
5 cent;100;24;212;Nő;20;1
0.05 euróba kerül;100 percébe;6.92;269;Nő;19;1
0.05;5;47;257;Férfi;24;3
5 cent;5 perc;47;199;Nő;21;3
0.1;100;12;295;Nő;20;0
0.10;5 perc;24;34;Nő;19;1
0.05;5.0;47.0;290;Férfi;22;3
0.5 euró;25 perc;47;196;Nő;21;1
5 cent;5 perc;47;108;Férfi;21;3
0.05;5;47;285;Nő;20;3
10 cent;5 perc;47 nap;68;Nő;21;2
5 cent;5 percbe;47;152;Férfi;21;3
0.05;500 perc;47;202;Nő;22;2
0.05;5;47;187;Férfi;20;3
0.05 euró;5 perc;47;180;Nő;22;3
0.10;100;6,9;252;Nő;21;0
0.05;100;24;305;Nő;21;1
0.10 euró;100;24;62;Nő;19;0
0.05;5;47;346;Férfi;23;3
10 cent;5;47;178;Nő;22;2
0.05;5;47;307;Nő;20;3
0.10 euró;5 perc;47;358;Nő;22;2
0.05;5;47;314;Nő;22;3
0.10;1 perc;47;351;Nő;21;1
0.10;5;47;256;Férfi;21;2
0.5;100;4;356;Nő;21;0
105 cent;100 perc;47 nap;72;Nő;19;1
0.5;5;47;158;Nő;22;2
2.10;100;24;109;Nő;20;0
0.1;5;47;1;Férfi;19;2
10 cent;100;32;322;Nő;21;0
10 cent;5;47;308;Nő;21;2
0.05;100;47;35;Nő;20;2
0.05;5;24;163;Nő;21;2
0.5 euró = 50 centbe kerül a labda.;5 perc;47 napba telik.;63;Nő;23;2
0.05 euró;5 perc;47 nap alatt;183;Nő;22;3
0.05 euro;5 perc;24;288;Nő;22;2
5;5;47;354;Nő;19;3
0.1;5;47;208;Nő;19;2
0.5 euró;5 perc;47;118;Nő;22;2
0;2.50 perc;47 nap;185;Nő;19;1
0.5;20;24;18;Nő;22;0
0.5;100;47;258;Nő;27;1
2;100;10;65;Nő;19;0
10;100;24;84;Nő;20;0
0.5;5;47;349;Nő;21;2
5 cent;5perc;24;162;Nő;21;1
10 cent;5;47;336;Nő;26;2
5 cent;5 perc;47 nap alatt;215;Nő;20;3
0.05 euró;5 perc;47 nap;4;Nő;20;3
10;1 óra 40 perc. 100 perc;96;133;Nő;18;0
0.10;20;47;195;Nő;22;1
0.5 euró;100;24;276;Nő;23;0
0.54;20;12;9;Nő;20;0
0.05;5 perc;47;75;Nő;19;3
0,05 euro;0,25 perc;47 nap;297;Nő;20;2
10 cent;100;6.93;119;Nő;19;0
0.05;5 perc;47;48;Nő;20.333333333333332;3
0.05;5;47;77;Férfi;21;3
0.05;5;47;294;Férfi;27;3
teniszütő: 1.05 euró  labda labda:0.05 euró;5 perc;47;2;Nő;23;3
0.1;100;24;149;Nő;20;0
0.05 euró;100;47;61;Nő;20;2
0.10 euró;100 perc;24 nap;228;Nő;21;0
5 cent;5 perc;47 nap;244;Nő;26;3
10 cent;100 perc;47;259;Nő;20;1
10;100;24;209;Nő;21.666666666666668;0
0.05;5;47;58;Férfi;20;3
10 cent;1 perc;12;60;Nő;19;0
0.10 euró;100;47;143;Nő;20;1
0.1;100;47;54;Nő;23;1
0.01 euró;100;24;117;Nő;20;0
5 cent;5;47;113;Nő;21;3
0.05 euro;5 perc;47 nap;125;Férfi;23;3
5 cent;5 perc;47 nap;103;Nő;20;3
0.10 euró;100 perc;24 nap;190;Nő;21;0
0.10;100;47;157;Nő;19;1
0.10;100;24;53;Nő;19;0
1.05;5;24;217;Férfi;21;1
10 cent;NA;NA;301;Nő;19;0
0.5;5;47;188;Nő;21;2
0.05 euro, azaz 5 cent;5 perc;47 nap;76;Nő;27;3
0.1;5;47;352;Férfi;24;2
1.05;5;47;320;Férfi;23;2
10 cent.;50 perc;24;198;Nő;23;0
5 centbe;5 percbe;47 nap alatt;229;Nő;21;3
10 cent;1 óra 40 perc;576 óra ,124 nap;112;Férfi;21;0
5 cent;5 perc;24;90;Nő;20;2
1.05;5;47;164;Nő;20;2
0,05 euró;5 perc;24;248;Nő;21;2
10;100;24;123;Nő;22;0
1,05;5;47;114;Férfi;23;2
5 cent;100;47;186;Nő;18;2
0.05;20;24;94;Férfi;18;1
0.05;5;47;240;Férfi;20;3
0.1;5;24;237;Férfi;22;1
5 centbe került a labda;5 percbe;47 nap alatt.;36;Férfi;22;3
10 cent;5 perc;47;47;Nő;33;2
0.05;100;24;45;Nő;20;1
0.1;100;47;246;Nő;20;1
0.10;100p;24;14;Nő;27;0
10 cent;100 perc;47 nap;225;Nő;21;1
0.5;5;47;299;Nő;22;2
0.05;5;47;121;Férfi;20;3
0.10;500;24;16;Nő;20;0
0.05 euró;5 perc;47 nap;87;Nő;21;3
5 cent;5 perc;47 nap;124;Férfi;20;3
0.1 euró;5 perc;47;89;Férfi;19;2
5.00;100 perc;6;57;Nő;18;0
0.05 euró;20 perc;47 nap;13;Nő;20;2
0.05;5;47;327;Férfi;20;3
5 cent;5;47;361;Nő;20;3
0.05 euró;5 perc;47 nap;104;Nő;22;3
0.05;5;47;25;Férfi;22;3
0.10;5 perc;47;331;Nő;21;2
2 euró;100;96;362;Nő;24;0
10 cent;100;12;91;Nő;21;0
0.5 euró;5 perc;47 nap;306;Nő;25;2
0.90;1 perc;47;338;Nő;22;1
0.05;5;47;131;Férfi;20;3
