id,age,sex,ses_status,BAQ_all,Inattention,PlanningError,EMOQ_all,error_anticipation,error_strain,learning_from_errors,thinking_about_errors,crt_all,Raven_all,aot_all,sds_all,MAAS_all
216,23,Nő,8,2.35,2.2,2.5,76,19,14,20,23,0,2,45,81,47
181,20,Nő,10,1.5,1,2,50,9,11,12,18,0,2,29,88,54
261,19,Nő,5,2.38,2.25,2.5,84,18,21,20,25,3,9,68,84,46
153,21,Nő,6,1.75,1.75,1.75,47,16,13,9,9,3,4,48,95,61
64,21,Nő,8,2.38,2,2.75,49,12,10,14,13,0,5,50,89,50
66,21,Férfi,9,2.25,1.25,3.25,41,12,8,10,11,2,11,50,121,41
326,22,Nő,6,1.35,1.2,1.5,74,18,15,19,22,2,5,60,104,48
127,20,Nő,8,2,1,3,67,20,16,14,17,3,6,62,78,50
236,24,Nő,7,2.52,1.8,3.25,67,13,12,18,24,2,5,54,101,54
56,23,Férfi,8,1.85,1.2,2.5,55,9,7,17,22,3,6,59,93,47
332,20,Férfi,7,2.65,1.8,3.5,59,15,15,14,15,3,11,57,80,49
223,22,Nő,6,2.25,1.25,3.25,78,18,21,18,21,1,3,47,73,39
348,22,Nő,7,1.88,2,1.75,85,21,21,18,25,0,4,61,107,38
192,20,Nő,6,2.17,1.6,2.75,57,13,15,13,16,2,11,54,72,49
51,19,Nő,8,1.23,1.2,1.25,62,14,10,17,21,3,2,50,93,61
271,18,Nő,7,1.38,1,1.75,72,13,17,18,24,0,7,56,107,67
99,19,Nő,6,2.62,3.25,2,69,18,14,16,21,0,10,41,74,40
227,21,Nő,7,1.82,1.4,2.25,59,13,12,17,17,1,2,51,99,51
100,21,Nő,9,2.42,1.5,3.33,58,13,9,20,16,3,8,64,91,62
145,19,Nő,8,1.8,1.6,2,61,16,12,15,18,3,9,49,85,54
296,20,Férfi,7,2.17,1.6,2.75,72,16,18,15,23,0,5,51,98,51
204,20,Nő,8,1.17,1.33,1,67,13,21,11,22,0,5,51,117,42
30,20,Nő,7,2.62,2,3.25,65,15,10,19,21,1,4,60,90,55
83,21,Nő,5,1.5,1.25,1.75,70,20,16,15,19,0,6,63,109,45
289,20,Férfi,7,1.57,1.4,1.75,71,11,18,20,22,0,5,71,84,48
284,21,Nő,8,1.55,1.6,1.5,64,14,15,17,18,3,12,68,85,51
155,20,Nő,8,2.7,2.4,3,60,14,13,15,18,1,7,58,80,50
132,19,Nő,8,1.88,1.5,2.25,63,17,21,10,15,3,7,57,97,50
310,21,Nő,7,1.5,1,2,30,5,8,9,8,0,10,48,104,71
274,20,Nő,7,2.02,1.8,2.25,72,15,19,18,20,0,6,42,90,46
176,20,Nő,9,2.95,2.4,3.5,57,22,8,12,15,3,9,69,85,46
38,24,Nő,8,1.92,1.6,2.25,63,10,18,13,22,1,8,59,113,48
280,21,Nő,9,1.75,2,1.5,61,13,19,11,18,3,10,56,103,48
210,20,Nő,7,2.25,1.75,2.75,66,15,19,13,19,1,7,50,87,42
92,24,Férfi,5,2.3,2.6,2,59,19,10,15,15,2,9,62,77,45
278,19,Nő,8,2.2,1.4,3,57,17,15,11,14,1,8,62,104,45
26,19,Nő,7,2.42,1.6,3.25,68,13,16,15,24,2,6,44,94,41
42,20,Férfi,7,1.62,1,2.25,58,24,6,13,15,3,11,67,85,58
55,22,Férfi,7,1.5,1.5,1.5,41,10,10,10,11,2,5,48,72,66
347,24,Férfi,7,1.75,2,1.5,66,13,16,17,20,0,7,48,93,47
74,22,Férfi,3,2.62,1.75,3.5,69,18,19,9,23,3,11,68,98,55
88,20,Nő,8,1.5,1.25,1.75,54,11,11,15,17,3,11,56,90,62
300,20,Nő,8,2.17,1.33,3,54,19,12,7,16,0,4,51,105,58
267,21,Férfi,6,2.12,1.5,2.75,51,15,11,12,13,2,8,56,91,48
175,21,Nő,7,3.62,3,4.25,66,14,18,14,20,3,3,56,93,51
17,21,Nő,7,1.55,1.6,1.5,68,20,15,16,17,0,5,63,89,48
59,22,Nő,5,1.85,2.2,1.5,59,10,18,8,23,1,11,58,80,44
238,21,Férfi,7,1.95,1.4,2.5,71,17,20,15,19,1,5,67,51,50
154,19,Nő,9,2.25,1.5,3,57,12,12,14,19,3,10,53,105,53
107,23,Férfi,5,2.27,1.8,2.75,65,15,18,12,20,2,12,66,92,49
245,24,Nő,8,2.02,1.8,2.25,64,14,12,17,21,2,6,62,106,43
71,22,Férfi,6,3.12,2.75,3.5,75,17,19,16,23,3,8,60,82,36
144,21,Férfi,6,2.25,1.5,3,58,13,12,15,18,3,4,63,105,50
86,19.333333333333332,Nő,8,2.05,1.6,2.5,63,16,12,14,21,2,9,57,87,50
264,20,Nő,9,1.42,1.33,1.5,76,18,17,19,22,0,5,65,73,42
39,22,Férfi,9,1.1,1.2,1,83,17,22,20,24,1,4,61,101,66
234,21,Nő,7,1.67,1.67,1.67,55,12,14,15,14,1,4,49,78,53
146,18,Nő,8,1.75,1.5,2,67,14,19,14,20,2,7,58,76,49
224,22,Nő,10,2.95,2.4,3.5,40,12,11,7,10,0,2,49,87,39
170,20,Nő,5,1.62,1.25,2,71,15,18,15,23,0,8,53,94,41
319,22.666666666666668,Férfi,7,1.52,1.8,1.25,75,14,21,19,21,1,3,74,92,42
69,21,Nő,6,2.17,1.33,3,61,16,17,10,18,1,6,51,91,44
341,21,Nő,6,1.55,1.6,1.5,71,20,18,13,20,3,11,57,99,31
111,23,Nő,6,2.27,1.8,2.75,69,15,19,13,22,3,10,59,79,47
32,20,Nő,6,2.38,2,2.75,64,17,16,14,17,0,10,53,90,51
218,23,Nő,6,2.75,2,3.5,80,25,24,12,19,0,4,55,75,37
313,20,Nő,4,2.04,1.33,2.75,59,13,17,18,11,3,6,62,64,49
101,21,Nő,8,1.88,2,1.75,55,8,12,13,22,0,8,65,80,56
43,20,Nő,7,1.68,1.6,1.75,61,13,13,15,20,1,6,51,85,47
126,22,Nő,8,2.25,2,2.5,49,8,10,16,15,0,8,44,78,48
265,20,Nő,9,1.25,1,1.5,53,7,10,16,20,1,6,48,120,69
230,22,Nő,8,2.02,1.8,2.25,77,21,14,19,23,2,11,67,106,55
73,21,Nő,8,2.38,1.75,3,69,15,21,15,18,2,7,62,88,34
339,20,Férfi,5,1.57,1.4,1.75,58,10,16,14,18,3,6,49,116,59
120,23,Nő,9,1.82,1.4,2.25,63,10,17,16,20,1,10,62,86,49
243,23,Nő,7,2.12,1.5,2.75,62,17,13,15,17,1,9,54,75,52
315,20,Nő,6,2.12,1.5,2.75,60,9,12,18,21,0,8,60,104,51
260,20,Nő,8,1.82,1.4,2.25,77,20,24,14,19,1,7,51,109,51
102,21,Férfi,8,1.5,1.5,NaN,36,11,6,10,9,1,3,39,86,62
292,21,Nő,7,2.9,1.8,4,78,18,21,17,22,3,11,48,72,24
137,21,Nő,9,3.34,4,2.67,84,23,22,14,25,3,1,51,65,48
160,19,Férfi,4,2.5,2.25,2.75,77,18,18,16,25,3,8,67,109,48
168,21,Nő,6,2.25,2.25,2.25,58,13,15,15,15,2,7,48,85,50
142,22,Nő,9,1.66,1.33,2,72,15,18,18,21,1,5,65,72,41
193,20,Nő,5,3.48,3.2,3.75,81,22,25,12,22,1,8,58,80,40
116,21,Férfi,7,2.55,2.6,2.5,68,19,11,16,22,3,9,72,76,41
323,21,Férfi,8,2.08,1.4,2.75,58,16,12,16,14,2,3,52,92,58
96,22,Férfi,8,1.95,1.4,2.5,56,11,12,14,19,2,9,60,79,71
203,22,Nő,5,2.75,2.5,3,64,21,11,16,16,0,2,46,94,53
345,22,Nő,9,2.92,1.5,4.33,49,13,8,13,15,0,4,48,80,65
241,24,Nő,7,2.23,2.2,2.25,82,21,21,16,24,3,10,66,68,46
134,20,Férfi,8,2.21,1.67,2.75,62,11,13,17,21,2,8,35,68,65
156,21,Férfi,3,3.08,2.5,3.67,60,12,17,16,15,3,0,46,86,36
231,20,Férfi,7,1.38,1,1.75,44,11,11,9,13,1,7,50,90,53
333,21,Férfi,7,2.46,1.67,3.25,58,14,11,15,18,3,9,47,85,53
304,21,Nő,3,2.25,1.5,3,69,18,18,11,22,0,2,53,86,34
27,19,Nő,4,2.75,2.5,3,76,22,24,10,20,3,9,57,67,35
182,21,Nő,7,1.92,1.6,2.25,43,9,9,12,13,2,9,46,72,61
291,23,Férfi,7,2.62,2,3.25,58,10,16,15,17,2,9,62,55,44
166,22,Nő,5,1.7,1.4,2,72,19,20,12,21,2,8,70,104,43
3,19,Nő,7,2.17,1.6,2.75,65,16,8,20,21,2,7,66,77,59
140,25,Nő,8,1.45,1.4,1.5,80,20,18,20,22,3,5,71,109,64
277,25,Nő,8,2.08,1.4,2.75,74,22,12,19,21,2,8,67,101,61
79,19,Nő,6,2.75,2,3.5,53,10,9,18,16,1,9,49,92,50
19,22,Nő,8,1.55,1.6,1.5,61,16,16,9,20,2,7,65,112,56
161,20,Nő,8,1.23,1.2,1.25,73,17,17,16,23,2,10,70,96,50
172,22,Férfi,3,2,1.25,2.75,62,12,16,14,20,2,11,67,107,33
325,22,Nő,8,1.7,1.4,2,58,12,13,16,17,3,9,51,91,45
226,24,Nő,5,3.52,2.8,4.25,62,14,17,12,19,1,12,49,58,35
110,21,Nő,8,1.88,1.25,2.5,50,14,12,8,16,1,4,55,106,54
221,21,Nő,5,3.25,3,3.5,71,21,19,10,21,2,9,57,77,40
254,24,Nő,5,2.17,1.6,2.75,60,9,14,15,22,3,8,57,105,59
23,21,Nő,7,2.48,2.2,2.75,67,14,19,15,19,2,8,57,93,41
122,23.333333333333332,Férfi,5,2.05,1.6,2.5,58,18,10,15,15,2,7,56,105,57
8,21,Férfi,4,2.25,1.5,3,65,14,14,18,19,2,7,51,106,42
344,22,Nő,8,1.42,1.5,1.33,38,8,5,12,13,0,4,57,96,52
50,19,Nő,9,2.08,1.4,2.75,62,10,16,16,20,2,12,53,81,45
268,22,Nő,7,2.75,2,3.5,55,16,15,8,16,3,10,57,95,44
128,20,Nő,6,2.67,2.6,2.75,72,21,10,17,24,1,6,57,76,52
81,20,Nő,8,2.5,2,3,52,18,9,13,12,3,9,54,95,47
151,21,Nő,3,2.08,1.4,2.75,63,19,21,8,15,2,9,51,98,38
15,25,Nő,7,1,1,1,58,16,14,15,13,1,5,60,81,66
219,21,Nő,8,2.5,3,2,66,14,17,13,22,3,10,58,101,43
275,19,Nő,6,1.62,1,2.25,66,19,14,15,18,3,12,63,81,53
33,22,Nő,5,1.77,1.8,1.75,73,19,19,15,20,0,3,53,96,50
287,24,Nő,7,1.7,1.4,2,82,17,20,20,25,3,6,59,114,53
85,21,Férfi,8,2.75,3,2.5,69,17,18,12,22,2,4,66,86,47
24,20,Nő,9,1.62,1,2.25,44,19,8,9,8,0,7,66,105,67
167,23,Nő,9,2.12,1.75,2.5,75,17,19,16,23,0,6,60,88,38
249,22,Nő,6,1.73,2.2,1.25,73,18,19,16,20,1,5,55,103,46
334,20.333333333333332,Nő,8,2.75,2,3.5,63,18,18,9,18,1,4,55,55,47
6,21,Férfi,5,1.57,1.4,1.75,78,22,19,12,25,3,12,69,105,54
28,21,Férfi,7,2.66,4,1.33,69,14,20,16,19,1,5,59,88,40
135,18.333333333333332,Férfi,7,2.65,2.8,2.5,66,13,22,16,15,0,2,42,61,41
357,20,Férfi,6,2,1.5,2.5,63,20,13,12,18,3,11,65,64,55
353,20,Nő,8,1.82,1.4,2.25,69,18,22,12,17,1,6,56,86,53
169,20,Nő,5,2.33,1.4,3.25,62,19,16,9,18,0,5,61,71,45
10,20,Nő,6,1.57,1.4,1.75,60,13,13,15,19,3,3,45,98,44
207,21,Férfi,8,2.05,1.6,2.5,52,10,12,12,18,3,11,56,94,51
106,22,Nő,6,2.45,1.4,3.5,58,17,12,15,14,3,10,57,100,61
233,21,Nő,7,1.62,1,2.25,78,16,22,19,21,2,10,56,69,42
46,21,Férfi,7,1.92,1.6,2.25,75,18,20,15,22,1,6,65,79,44
184,20,Férfi,5,2.02,1.8,2.25,83,21,21,17,24,2,8,66,79,43
255,19,Nő,7,2.94,2.2,3.67,51,9,12,10,20,2,11,57,85,53
141,20,Nő,3,2.04,1.33,2.75,72,18,19,16,19,3,2,60,97,45
286,21,Nő,7,1.38,1,1.75,74,22,18,13,21,0,7,71,83,30
355,21,Férfi,8,2.46,1.6,3.33,47,7,10,12,18,2,10,54,93,53
147,24,Férfi,8,1.54,1.33,1.75,66,17,14,19,16,3,9,67,104,49
324,20,Nő,4,2.1,1.2,3,67,13,20,13,21,0,12,63,106,47
148,25,Nő,8,3.35,2.2,4.5,36,13,5,8,10,3,7,62,51,32
266,19,Nő,5,1.68,1.6,1.75,41,9,11,10,11,1,6,50,90,54
139,20,Nő,4,2.35,2.2,2.5,60,15,22,11,12,0,8,57,91,51
342,20,Férfi,8,2,1.5,2.5,67,17,14,15,21,3,9,58,71,43
239,20,Nő,8,2.12,2,2.25,58,8,13,16,21,0,1,49,88,59
174,21,Nő,9,1.95,2.4,1.5,76,18,24,11,23,2,9,53,88,42
37,20,Nő,8,2.38,2,2.75,63,14,16,16,17,0,8,54,87,49
360,20,Nő,6,1.82,1.4,2.25,62,12,15,14,21,3,8,51,90,55
159,24,Nő,4,2.25,2,2.5,76,16,24,12,24,2,10,65,78,37
298,19,Férfi,2,2.12,3,1.25,59,20,19,9,11,2,7,67,121,51
150,22,Férfi,8,2,1,3,63,19,21,8,15,2,7,61,92,45
80,21,Nő,7,1.77,1.8,1.75,72,15,12,20,25,0,12,71,94,53
191,21,Férfi,4,2.66,1.33,4,63,13,16,15,19,3,10,52,79,50
97,24,Nő,8,2,1.5,2.5,62,16,14,15,17,0,7,52,104,66
82,19,Nő,6,2.79,2.33,3.25,76,22,14,18,22,2,5,69,83,47
335,21.333333333333332,Férfi,8,1,1,1,59,12,12,18,17,2,6,49,79,76
293,19,Férfi,5,1.9,1.8,2,67,17,16,15,19,3,9,69,120,56
235,21,Nő,8,2.05,1.6,2.5,66,18,17,13,18,3,10,57,106,45
67,19,Nő,9,2.02,1.8,2.25,53,12,10,16,15,0,7,49,92,49
281,23,Nő,7,1.5,1.25,1.75,63,14,18,13,18,3,10,48,104,37
115,22,Nő,6,2.25,2,2.5,52,13,17,9,13,0,3,49,88,56
173,21,Nő,5,2.02,1.8,2.25,76,21,24,10,21,1,9,68,100,34
171,20,Nő,4,1.48,1.2,1.75,51,11,18,10,12,3,9,62,94,49
253,22,Nő,9,2.25,2,2.5,59,13,16,15,15,0,5,44,62,47
197,21,Nő,8,2.62,2.75,2.5,56,11,11,16,18,0,5,38,109,55
321,22,Férfi,7,1.73,1.2,2.25,65,17,8,17,23,2,10,66,81,46
317,18,Nő,6,3.1,3.2,3,80,20,23,14,23,1,4,60,72,42
303,24,Nő,7,2.12,1.75,2.5,58,16,10,16,16,0,7,56,91,65
